Blatter: loss = 0.6082320213317871; accuracy = 0.8235294222831726
Gastric: loss = 0.6927127838134766; accuracy = 0.6000000238418579
Prostate: loss = 0.7805872559547424; accuracy = 0.3199999928474426
Brain: loss = 1.6052935123443604; accuracy = 0.3076923191547394
Leukemia: loss = 1.84109628200531; accuracy = 0.2982456088066101
Renal: loss = 0.69267338514328; accuracy = 0.517241358757019
Breast: loss = 0.693286657333374; accuracy = 0.517241358757019
Liver: loss = 0.6931783556938171; accuracy = 0.4027777910232544
Throat: loss = 0.6367101073265076; accuracy = 0.6666666865348816
Colorectal: loss = 0.6930629014968872; accuracy = 0.5641025900840759
Lung: loss = 0.7013401985168457; accuracy = 0.3913043439388275
Ovary: loss = 1.199890375137329; accuracy = 0.25
